dataset,learningRate,momentum,epochs,trainAcc,testAcc,,dataset,learningRate,momentum,epochs,trainAcc,testAcc
wine,0.01,0,50,0.899,0.869,,cancer,0.01,0,50,0.988,0.982
wine,0.01,0.5,50,0.899,0.869,,cancer,0.01,0.5,50,0.988,0.982
wine,0.01,1,50,0.899,0.869,,cancer,0.01,1,50,0.988,0.982
wine,0.1,0,50,0.909,0.856,,cancer,0.1,0,50,0.997,0.969
wine,0.1,0.5,50,0.909,0.856,,cancer,0.1,0.5,50,0.997,0.969
wine,0.1,1,50,0.909,0.856,,cancer,0.1,1,50,0.997,0.969
wine,0.3,0,50,0.908,0.842,,cancer,0.3,0,50,1,0.965
wine,0.3,0.5,50,0.908,0.842,,cancer,0.3,0.5,50,1,0.965
wine,0.3,1,50,0.908,0.842,,cancer,0.3,1,50,1,0.965
wine,0.5,0,50,0.867,0.861,,cancer,0.5,0,50,0.613,0.649
wine,0.5,0.5,50,0.867,0.861,,cancer,0.5,0.5,50,0.613,0.649
wine,0.5,1,50,0.867,0.861,,cancer,0.5,1,50,0.613,0.649
wine,0.001,0.9,49,0.881,0.888,,cancer,0.001,0.9,102,0.971,0.982
