,dataset,kernel,Poly/Gamma,trainAcc,testAcc
0,wine,poly,1,0.866527633,0.8609375
1,wine,poly,2,0.867570386,0.8625
2,wine,poly,3,0.895724713,0.8765625
3,wine,poly,4,0.899895725,0.8609375
4,wine,poly,5,0.906152242,0.875
5,wine,rbf,0.01,0.866527633,0.8609375
6,wine,rbf,0.5,0.952033368,0.86875
7,wine,rbf,1,0.972888425,0.8765625
8,wine,rbf,2,0.994786236,0.8875
9,wine,rbf,4,0.998957247,0.8890625
10,cancer,poly,1,0.976539589,0.98245614
11,cancer,poly,2,0.853372434,0.807017544
12,cancer,poly,3,0.906158358,0.894736842
13,cancer,poly,4,0.824046921,0.798245614
14,cancer,poly,5,0.850439883,0.842105263
15,cancer,rbf,0.01,0.967741935,0.973684211
16,cancer,rbf,0.5,1,0.802631579
17,cancer,rbf,1,1,0.653508772
18,cancer,rbf,2,1,0.649122807
19,cancer,rbf,4,1,0.649122807
